name,wins,year
Akın Barhan,3,2019
Ahmet Kazım Ertem,1,1998
Ahmet Kazım Ertem,1,1999
Ahmet Kazım Ertem,1,2000
Ahmet Kazım Ertem,1,2001
Ahmet Kazım Ertem,1,2002
Ahmet Kazım Ertem,1,2003
Ahmet Kazım Ertem,1,2004
Ahmet Kazım Ertem,1,2005
Ahmet Kazım Ertem,1,2006
Ahmet Kazım Ertem,1,2007
Ahmet Kazım Ertem,1,2008
Ahmet Kazım Ertem,1,2009
Ahmet Kazım Ertem,1,2010
Ahmet Kazım Ertem,1,2011
Ahmet Kazım Ertem,1,2012
Ahmet Kazım Ertem,1,2013
Ahmet Kazım Ertem,1,2014
Ahmet Kazım Ertem,1,2015
Ahmet Kazım Ertem,1,2016
Ahmet Kazım Ertem,1,2017
Ahmet Kazım Ertem,1,2018
Ahmet Kazım Ertem,1,2019
Akın Barhan,0,1973
Akın Barhan,0,1974
Akın Barhan,0,1975
Akın Barhan,0,1976
Akın Barhan,0,1977
Akın Barhan,0,1978
Akın Barhan,0,1979
Akın Barhan,0,1980
Ahmet Birdal,0,1987
Ahmet Birdal,0,1988
Ahmet Birdal,0,1989
Ahmet Birdal,0,1990
Ahmet Birdal,0,1991
Ahmet Birdal,0,1992
Ahmet Birdal,0,1993
Ahmet Birdal,0,1994
Ahmet Birdal,0,1995
Ahmet Birdal,0,1996
Ahmet Birdal,0,1997
Ahmet Birdal,0,1998
Ahmet Birdal,0,1999
Ahmet Birdal,0,2000
Ahmet Birdal,0,2001
Ahmet Birdal,0,2002
Ahmet Birdal,0,2003
Ahmet Birdal,0,2004
Ahmet Birdal,0,2005
Ahmet Birdal,0,2006
Ahmet Birdal,0,2007
Ahmet Birdal,0,2008
Ahmet Birdal,0,2009
Ahmet Birdal,0,2010
Ahmet Birdal,0,2011
Ahmet Birdal,0,2012
Ahmet Birdal,0,2013
Ahmet Birdal,0,2014
Ahmet Birdal,0,2015
Ahmet Birdal,0,2016
Adnan Örnek,0,2017
Ahmet Birdal,0,2017
Adnan Örnek,0,2018
Ahmet Birdal,0,2018
Adem Çağlayan,0,2019
Adnan Örnek,0,2019
Ahmet Birdal,0,2019
Abdullah Avcı,NA,1959
Abdullah Ercan,NA,1959
Abdullah Gegic,NA,1959
Abdullah Matay,NA,1959
Adem Çağlayan,NA,1959
Adnan Dinçer,NA,1959
Adnan İncirmen,NA,1959
Adnan Örnek,NA,1959
Adnan Süvari,NA,1959
Adnan Şentürk,NA,1959
Adolf Remy,NA,1959
Ahmet Akcan,NA,1959
Ahmet Arıboğan,NA,1959
Ahmet Asena,NA,1959
Ahmet Birdal,NA,1959
Ahmet Kazım Ertem,NA,1959
Ahmet Özen,NA,1959
Ahmet Suat Özyazıcı,NA,1959
Ahmet Uludağ,NA,1959
Ahmet Ziya Yüce,NA,1959
Akın Barhan,NA,1959
Abdullah Avcı,NA,1960
Abdullah Ercan,NA,1960
Abdullah Gegic,NA,1960
Abdullah Matay,NA,1960
Adem Çağlayan,NA,1960
Adnan Dinçer,NA,1960
Adnan Örnek,NA,1960
Adnan Şentürk,NA,1960
Adolf Remy,NA,1960
Ahmet Akcan,NA,1960
Ahmet Arıboğan,NA,1960
Ahmet Asena,NA,1960
Ahmet Birdal,NA,1960
Ahmet Kazım Ertem,NA,1960
Ahmet Özen,NA,1960
Ahmet Suat Özyazıcı,NA,1960
Ahmet Uludağ,NA,1960
Ahmet Ziya Yüce,NA,1960
Akın Barhan,NA,1960
Abdullah Avcı,NA,1961
Abdullah Ercan,NA,1961
Abdullah Gegic,NA,1961
Abdullah Matay,NA,1961
Adem Çağlayan,NA,1961
Adnan Dinçer,NA,1961
Adnan Örnek,NA,1961
Adnan Şentürk,NA,1961
Adolf Remy,NA,1961
Ahmet Akcan,NA,1961
Ahmet Asena,NA,1961
Ahmet Birdal,NA,1961
Ahmet Kazım Ertem,NA,1961
Ahmet Özen,NA,1961
Ahmet Suat Özyazıcı,NA,1961
Ahmet Ziya Yüce,NA,1961
Akın Barhan,NA,1961
Abdullah Avcı,NA,1962
Abdullah Ercan,NA,1962
Abdullah Gegic,NA,1962
Abdullah Matay,NA,1962
Adem Çağlayan,NA,1962
Adnan Dinçer,NA,1962
Adnan Örnek,NA,1962
Adnan Şentürk,NA,1962
